Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,New_Item_Type
FDF32,0.8264215483989897,Low Fat,0.03667562225268422,Fruits and Vegetables,0.8904538263181622,OUT013,1987,0,2,Supermarket Type1,1977.426,1
FDP49,-0.9128628888925828,Regular,0.057310668766534865,Breakfast,-1.3590727724192342,OUT046,1997,2,0,Supermarket Type1,1547.3192,1
NCB42,-0.2502783413529361,Low Fat,-1.115150811092473,Health and Hygiene,-0.4118034379118073,OUT018,2009,1,2,Supermarket Type2,1621.8888,2
FDP49,-0.9128628888925828,Regular,0.05939256480789004,Breakfast,-1.3911902385565518,OUT049,1999,1,0,Supermarket Type1,718.3982,1
DRI11,0.0,Low Fat,-0.6181698487241788,Hard Drinks,-0.4449775686850424,OUT027,1985,1,2,Supermarket Type3,2303.668,0
FDU02,0.11650953317793943,Low Fat,0.7047240141173493,Dairy,1.4379377893347167,OUT035,2004,2,1,Supermarket Type1,2748.4224,1
FDN22,1.4180148944165314,Regular,1.396618551583958,Snack Foods,1.7645274554986428,OUT013,1987,0,2,Supermarket Type1,3775.086,1
FDW12,0.0,Regular,-0.5956435261714562,Baking Goods,0.057034485774297906,OUT027,1985,1,2,Supermarket Type3,4064.0432,1
NCB30,0.4123062061867102,Low Fat,-0.7836816597018129,Household,0.8915104909540799,OUT035,2004,2,1,Supermarket Type1,1587.2672,2
FDC37,0.0,Low Fat,-0.16619953110084348,Baking Goods,-0.5347394630456173,OUT019,1985,2,0,Grocery Store,214.3876,1
FDR28,0.23482820238144775,Regular,-0.7798372603004365,Frozen Foods,0.385862739327995,OUT046,1997,2,0,Supermarket Type1,4078.025,1
NCD06,0.03368646473548369,Low Fat,0.6542340957636468,Household,-1.5269732501452886,OUT017,2007,3,1,Supermarket Type1,838.908,2
FDV10,-1.2335064824340904,Regular,0.010881101829223017,Snack Foods,-1.5847011837805032,OUT035,2004,2,1,Supermarket Type1,1065.28,1
DRJ59,-0.2857739421139887,Low Fat,-0.9066010737321313,Hard Drinks,-1.636005624188254,OUT013,1987,0,2,Supermarket Type1,308.9312,0
FDE51,-1.640522704494159,Regular,1.847754308283356,Dairy,-1.5333549906667736,OUT010,1998,3,2,Grocery Store,178.4344,1
FDC14,0.0,Regular,0.11803074691389943,Canned,-1.5632756221202988,OUT019,1985,2,0,Grocery Store,125.8362,1
FDV38,1.5126698297793377,Low Fat,2.019903784907193,Dairy,-1.3681588035894812,OUT010,1998,3,2,Grocery Store,163.7868,1
NCS17,1.3588555598147771,Low Fat,0.2848609660693587,Health and Hygiene,-0.7154034218146416,OUT018,2009,1,2,Supermarket Type2,2741.7644,2
FDP33,1.3825192936554784,Low Fat,-1.2817577519125376,Snack Foods,1.857584601884906,OUT018,2009,1,2,Supermarket Type2,3068.0064,1
FDO23,1.1813775560095148,Low Fat,-1.2817577519125376,Breads,-0.7683972409412153,OUT045,2002,3,1,Supermarket Type1,2174.5028,1
DRH01,1.0985544875670585,Low Fat,0.6157985522146603,Soft Drinks,0.5440862245068757,OUT046,1997,2,0,Supermarket Type1,2085.2856,0
NCX29,-0.6762255504855662,Low Fat,0.44886520250168055,Health and Hygiene,0.09181448985439881,OUT049,1999,1,0,Supermarket Type1,3791.0652,2
FDV20,0.0,Regular,-0.12831171721837187,Fruits and Vegetables,-0.20755883550476428,OUT027,1985,1,2,Supermarket Type3,2797.6916,1
DRZ11,-0.9483584896536355,Regular,0.9107869114900338,Soft Drinks,-0.2963475706413785,OUT018,2009,1,2,Supermarket Type2,1609.9044,0
FDX10,0.0,Regular,1.1043638013731725,Snack Foods,-1.6701946668914283,OUT027,1985,1,2,Supermarket Type3,388.1614,1
FDB34,0.0,Low Fat,-0.7685091990669511,Snack Foods,-0.8571024706658724,OUT027,1985,1,2,Supermarket Type3,2180.495,1
FDU02,0.11650953317793943,Low Fat,0.7050997109275305,Dairy,1.4395436626415825,OUT046,1997,2,0,Supermarket Type1,3435.528,1
FDK43,-0.7235530181669694,Low Fat,-0.761968306747886,Meat,-0.24073296627799962,OUT013,1987,0,2,Supermarket Type1,2150.534,1
FDA46,0.1756688677796936,Low Fat,1.0017738991623333,Snack Foods,0.8337825573188655,OUT049,1999,1,0,Supermarket Type1,2527.3768,1
FDC02,2.0096082404340727,Low Fat,0.05757949433180596,Canned,1.9099457069285748,OUT018,2009,1,2,Supermarket Type2,6768.5228,1
FDL50,-0.16745527291048037,Regular,-0.4623365915137025,Canned,-0.23266184703769174,OUT013,1987,0,2,Supermarket Type1,373.5138,1
FDM39,-1.5233872219826858,Low Fat,0.4528925273309609,Dairy,0.5958981208795964,OUT010,1998,3,2,Grocery Store,358.2004,1
NCP05,1.5954928982217937,Low Fat,-1.2817577519125376,Health and Hygiene,0.19767686998961118,OUT045,2002,3,1,Supermarket Type1,2428.8384,2
FDV49,-0.6762255504855662,Low Fat,-0.780164967773948,Canned,1.9949734867805091,OUT045,2002,3,1,Supermarket Type1,5815.0972,1
FDL12,0.708102879195481,Regular,1.075703313573282,Baking Goods,-1.2906529343069069,OUT046,1997,2,0,Supermarket Type1,2576.646,1
FDS02,0.0,Regular,3.668255029958881,Dairy,0.8974682809225524,OUT019,1985,2,0,Grocery Store,780.3176,1
NCL17,-1.2938490037278798,Low Fat,0.031935066567137876,Health and Hygiene,0.04638433400316362,OUT046,1997,2,0,Supermarket Type1,3134.5864,2
FDM40,-0.6300812694961979,Low Fat,1.8155285577649325,Frozen Foods,0.008392583309330693,OUT013,1987,0,2,Supermarket Type1,850.8924,1
FDR13,-0.7010724710183031,Regular,-0.7255595567830041,Canned,-0.3845035916950874,OUT013,1987,0,2,Supermarket Type1,810.9444,1
FDA43,-0.46443513261128644,Low Fat,-0.021134840704769366,Fruits and Vegetables,0.889438914388223,OUT017,2007,3,1,Supermarket Type1,3121.2704,1
NCP18,-0.16745527291048037,Low Fat,-0.7243369334605191,Household,0.16826369450105572,OUT017,2007,3,1,Supermarket Type1,4815.0656,2
FDK21,-1.171980774448266,Low Fat,-1.0869104819518434,Snack Foods,1.7351142800100874,OUT018,2009,1,2,Supermarket Type2,6258.52,1
NCX54,-0.8667186079032145,Low Fat,-0.3483818607948773,Household,-0.5593350186135749,OUT045,2002,3,1,Supermarket Type1,2117.244,2
DRK35,-1.0631275987810385,Low Fat,0.1129216269205522,Hard Drinks,-1.6531210218928305,OUT049,1999,1,0,Supermarket Type1,796.9626,0
FDY21,0.5306248753902185,Low Fat,2.080622176837962,Snack Foods,0.8594347775227409,OUT046,1997,2,0,Supermarket Type1,4910.275,1
FDI26,0.0,Low Fat,-0.0978752169438968,Canned,0.6269589223809962,OUT019,1985,2,0,Grocery Store,892.172,1
FDM20,-0.6762255504855662,Low Fat,-1.2817577519125376,Fruits and Vegetables,1.7009669900128916,OUT018,2009,1,2,Supermarket Type2,3185.1872,1
FDV27,-1.1565993474518101,Regular,-0.505107107202535,Meat,-0.8614126346215004,OUT045,2002,3,1,Supermarket Type1,1062.6168,1
FDF09,0.0,Low Fat,-1.0474303562946892,Fruits and Vegetables,-1.6493600666081507,OUT027,1985,1,2,Supermarket Type3,484.7024,1
FDY40,0.0,Regular,1.6310552411717105,Frozen Foods,-1.4440587995651901,OUT019,1985,2,0,Grocery Store,147.8076,1
FDY45,0.0,Low Fat,-0.7775301671254918,Snack Foods,1.8442301594650097,OUT027,1985,1,2,Supermarket Type3,2543.356,1
FDC46,1.1458819552484618,Low Fat,2.4990155805231375,Snack Foods,0.7135508228338178,OUT010,1998,3,2,Grocery Store,184.4266,1
FDH19,1.5363335636200397,Low Fat,-0.6405648789640572,Meat,0.5071511384489609,OUT035,2004,2,1,Supermarket Type1,4865.6664,1
FDZ03,0.18750073470004458,Regular,0.2483666454577088,Dairy,0.7231443099690344,OUT045,2002,3,1,Supermarket Type1,1118.544,1
DRH37,1.1222182214077605,Low Fat,-0.4735220414631744,Soft Drinks,0.383158448679233,OUT045,2002,3,1,Supermarket Type1,2302.3364,0
NCI17,-0.9968691440270738,Low Fat,1.4980312226477892,Health and Hygiene,-0.7250804143618155,OUT046,1997,2,0,Supermarket Type1,2027.361,2
FDJ58,0.6489435445937268,Regular,0.7590696508435975,Snack Foods,0.4686519317901584,OUT046,1997,2,0,Supermarket Type1,3435.528,1
FDL12,0.708102879195481,Regular,1.0737414877826015,Baking Goods,-1.313135160603029,OUT013,1987,0,2,Supermarket Type1,599.22,1
FDH35,1.276032491372321,Low Fat,-1.2817577519125376,Starchy Foods,0.3815525753723672,OUT045,2002,3,1,Supermarket Type1,4604.6728,1
FDG02,-1.1838126413686167,Low Fat,-1.0622615421960762,Canned,0.7808722436042487,OUT017,2007,3,1,Supermarket Type1,2285.0256,1
NCZ18,-1.1909117615208273,Low Fat,2.3301792094005176,Household,1.8206912685329697,OUT049,1999,1,0,Supermarket Type1,5580.7356,2
FDC29,-1.057211665320863,Regular,-0.8126084728147811,Frozen Foods,-0.43318724686603316,OUT046,1997,2,0,Supermarket Type1,2290.352,1
FDQ10,-0.00180913602556889,Low Fat,-0.6376847241100664,Snack Foods,0.5034319358702594,OUT049,1999,1,0,Supermarket Type1,1207.0954,1
FDN48,0.0,Low Fat,0.9223472054504893,Baking Goods,-0.8191942253839966,OUT019,1985,2,0,Grocery Store,643.1628,1
FDL04,1.4535104951775835,Low Fat,0.8997899495450506,Frozen Foods,-0.5786054982959654,OUT017,2007,3,1,Supermarket Type1,1587.933,1
FDV25,-1.6452554512622992,Low Fat,-1.2817577519125376,Canned,1.309634935609361,OUT045,2002,3,1,Supermarket Type1,5305.0944,1
FDD58,-1.2062931885172836,Low Fat,-0.13140449041778612,Snack Foods,-0.6282623126908718,OUT046,1997,2,0,Supermarket Type1,1697.79,1
FDN04,-0.2502783413529361,Regular,-1.0087252312902335,Frozen Foods,0.6317765423015935,OUT046,1997,2,0,Supermarket Type1,1427.4752,1
FDV45,0.9210764837617961,Low Fat,-0.40510064387029093,Snack Foods,0.7541633587644556,OUT018,2009,1,2,Supermarket Type2,4693.89,1
NCL18,0.0,Low Fat,4.405206554054123,Household,0.8610824035355852,OUT019,1985,2,0,Grocery Store,583.2408,2
FDR12,0.0,Regular,-0.6735172531625108,Baking Goods,0.48792241147254867,OUT027,1985,1,2,Supermarket Type3,3091.9752,1
FDG20,0.6252798107530253,Regular,1.1680796661930146,Fruits and Vegetables,0.5782752672100504,OUT017,2007,3,1,Supermarket Type1,2479.4392,1
FDZ55,-1.609759850501247,Low Fat,-0.7893844829911503,Fruits and Vegetables,0.32116210379436905,OUT035,2004,2,1,Supermarket Type1,2716.464,1
FDQ49,0.0,Regular,-0.5247496698864766,Breakfast,0.24040273519208438,OUT027,1985,1,2,Supermarket Type3,3285.723,1
FDN33,-1.5506005158994927,Regular,1.1044473563127462,Snack Foods,-0.7282504082695684,OUT046,1997,2,0,Supermarket Type1,661.8052,1
FDN27,1.8912895712305646,Low Fat,-0.513773194504038,Meat,-0.380784389116386,OUT049,1999,1,0,Supermarket Type1,1523.3504,1
FDW20,1.8676258373898627,Low Fat,-0.4983222755493314,Fruits and Vegetables,-0.3022218551978938,OUT010,1998,3,2,Grocery Store,369.519,1
DRG27,-0.9377098094253197,Low Fat,0.7586440071349515,Dairy,-1.6232003904393053,OUT049,1999,1,0,Supermarket Type1,690.4346,0
DRI25,1.5954928982217937,Low Fat,-0.6233542282467218,Soft Drinks,-1.3783432521016248,OUT045,2002,3,1,Supermarket Type1,1381.535,0
FDA44,1.619156632062495,Low Fat,-0.2504007761753416,Fruits and Vegetables,-1.3344772168512766,OUT035,2004,2,1,Supermarket Type1,622.523,1
NCR17,-0.7235530181669694,Low Fat,-0.8092545492428749,Health and Hygiene,-0.4246504243667342,OUT035,2004,2,1,Supermarket Type1,1274.3412,2
FDU04,0.0,Low Fat,-1.0934714150520541,Frozen Foods,-0.3364526506070468,OUT019,1985,2,0,Grocery Store,487.3656,1
FDF41,-0.16745527291048037,Low Fat,1.2646960395146503,Frozen Foods,1.6870215862160682,OUT049,1999,1,0,Supermarket Type1,1231.73,1
FDB56,-0.972022223494337,Regular,0.16437823192843373,Fruits and Vegetables,0.7461339922301263,OUT035,2004,2,1,Supermarket Type1,3755.112,1
NCP18,0.0,Low Fat,-0.7301563576583404,Household,0.14417559489806764,OUT027,1985,1,2,Supermarket Type3,4363.6532,2
FDB56,-0.972022223494337,Regular,0.16465172850749213,Fruits and Vegetables,0.7525574854575898,OUT046,1997,2,0,Supermarket Type1,1314.2892,1
FDT28,0.10467766625758884,Low Fat,-0.04723237618860899,Frozen Foods,0.16184020127359214,OUT045,2002,3,1,Supermarket Type1,1805.6496,1
FDD10,0.0,Regular,-0.3941133922070817,Snack Foods,0.6028708227780081,OUT027,1985,1,2,Supermarket Type3,2854.9504,1
FDW57,-1.076142652393424,Regular,0.9637637667403931,Snack Foods,0.6119986066542337,OUT049,1999,1,0,Supermarket Type1,3896.2616,1
DRB48,0.9210764837617961,Regular,-0.8004532738867386,Soft Drinks,-1.6413724527797997,OUT013,1987,0,2,Supermarket Type1,667.7974,0
FDP09,1.630988498982846,Low Fat,-0.6222356270445548,Snack Foods,1.1417344578833066,OUT018,2009,1,2,Supermarket Type2,3185.853,1
FDH14,1.0038995522042522,Regular,-0.3752787210903496,Canned,0.0030675074237633193,OUT013,1987,0,2,Supermarket Type1,2247.7408,1
FDA47,-0.5579068812820579,Regular,0.9777085647847835,Baking Goods,0.3553511464975438,OUT013,1987,0,2,Supermarket Type1,1794.331,1
FDG12,-1.4725101942251773,Regular,-1.2817577519125376,Baking Goods,-0.3160837535827601,OUT045,2002,3,1,Supermarket Type1,2530.7058,1
DRE60,0.0,Low Fat,4.12526196026196,Soft Drinks,1.355023338754618,OUT019,1985,2,0,Grocery Store,679.116,0
DRK49,0.3058194039035529,Low Fat,-0.5856835680508615,Soft Drinks,-1.5991122908363173,OUT013,1987,0,2,Supermarket Type1,812.276,0
FDD03,0.10467766625758884,Low Fat,0.2650313302523245,Dairy,1.469971750060077,OUT046,1997,2,0,Supermarket Type1,699.09,1
FDS52,-0.9388929961173546,Low Fat,-1.1750516205560588,Frozen Foods,-0.6197254901915729,OUT017,2007,3,1,Supermarket Type1,2732.4432,1
FDW39,0.0,Regular,-0.029202301733095362,Meat,0.5772186025741327,OUT019,1985,2,0,Grocery Store,176.437,1
FDX34,0.0,Low Fat,0.10669502986943481,Snack Foods,-0.3096602603552965,OUT027,1985,1,2,Supermarket Type3,4097.3332,1
FDV11,-0.8891991550518813,Regular,-1.2817577519125376,Breads,0.5172938342551257,OUT045,2002,3,1,Supermarket Type1,3151.8972,1
FDD17,-1.2678188965031079,Low Fat,-0.6484055341693982,Frozen Foods,1.5753266742303194,OUT049,1999,1,0,Supermarket Type1,5942.265,1
FDZ16,0.944740217602498,Regular,1.834061454256483,Frozen Foods,0.8263023994554843,OUT017,2007,3,1,Supermarket Type1,4843.695,1
FDZ46,-1.271368456579213,Low Fat,0.057731040625594914,Snack Foods,-0.5133974067973697,OUT035,2004,2,1,Supermarket Type1,2542.0244,1
DRA12,-0.2976058090343397,Low Fat,-0.4836635876674767,Soft Drinks,-0.010877896373059593,OUT017,2007,3,1,Supermarket Type1,2552.6772,0
FDY58,-0.2857739421139887,Low Fat,-0.5049120875314639,Snack Foods,1.3822814322653592,OUT018,2009,1,2,Supermarket Type2,1141.847,1
NCF19,0.03368646473548369,Low Fat,-0.5974383002283898,Household,-1.5013210299414133,OUT017,2007,3,1,Supermarket Type1,680.4476,2
DRJ13,-0.04913660370697205,Low Fat,-0.060358448239619125,Soft Drinks,0.29010130229296927,OUT045,2002,3,1,Supermarket Type1,2085.9514,0
FDB14,1.7493071681863543,Regular,2.0507253046376244,Canned,-0.7785399367473802,OUT010,1998,3,2,Grocery Store,186.424,1
FDJ38,-1.0075178242553895,Regular,-0.5026494755873988,Canned,0.7894508188095262,OUT035,2004,2,1,Supermarket Type1,3036.048,1
FDW11,-0.06096847062732305,Low Fat,-0.33092513874540924,Breads,-1.256971347568702,OUT017,2007,3,1,Supermarket Type1,866.8716,1
FDL40,1.1458819552484618,Low Fat,-1.0567164479947109,Frozen Foods,-0.7379274008167424,OUT035,2004,2,1,Supermarket Type1,868.869,1
DRI49,0.3058194039035529,Low Fat,2.274943928674881,Soft Drinks,-0.9404826245049623,OUT046,1997,2,0,Supermarket Type1,1137.1864,0
FDV38,1.5126698297793377,Low Fat,0.701960150063043,Dairy,-1.4163350027954575,OUT017,2007,3,1,Supermarket Type1,928.1252,1
DRG23,-0.9412593695014246,Low Fat,0.3988184877673763,Hard Drinks,0.17303956171567497,OUT013,1987,0,2,Supermarket Type1,762.341,0
NCP30,1.8084665027881084,Low Fat,-0.6453535015134734,Household,-1.6172843531768115,OUT045,2002,3,1,Supermarket Type1,707.0796,2
FDY25,0.0,Low Fat,-0.6264607819058989,Canned,0.6360032008452647,OUT027,1985,1,2,Supermarket Type3,7968.2944,1
NCH54,0.152005133938992,Low Fat,0.12670059428459218,Household,0.3099209906463081,OUT046,1997,2,0,Supermarket Type1,1438.128,2
NCR53,0.0,Low Fat,1.5157820441296603,Health and Hygiene,1.3400630230278556,OUT027,1985,1,2,Supermarket Type3,6976.2524,2
FDS52,-0.9388929961173546,Low Fat,-1.1041581325252783,Frozen Foods,-0.6309666033396341,OUT010,1998,3,2,Grocery Store,101.2016,1
FDG02,-1.1838126413686167,Low Fat,-1.0626070033983395,Canned,0.7632076372287242,OUT018,2009,1,2,Supermarket Type2,952.094,1
NCO26,-1.3305277911809672,Low Fat,0.2078426548189848,Household,-0.4005623247637461,OUT046,1997,2,0,Supermarket Type1,1969.4364,2
FDH35,0.0,Low Fat,-0.1196855758065606,Starchy Foods,0.3927936885204281,OUT027,1985,1,2,Supermarket Type3,5262.4832,1
FDB51,-1.4050685527791775,Low Fat,-0.5349370346658548,Dairy,-1.2912438956838335,OUT045,2002,3,1,Supermarket Type1,1314.2892,1
FDX44,-0.8418716873704777,Low Fat,-0.4442782971574654,Fruits and Vegetables,-0.8057562775521431,OUT017,2007,3,1,Supermarket Type1,535.3032,1
NCN07,1.3351918259740752,Low Fat,-0.18055239356132738,Others,-0.14235074400616876,OUT010,1998,3,2,Grocery Store,263.6568,2
NCC31,-1.1447674805314592,Low Fat,-0.8967052499875626,Household,0.2184697175669102,OUT035,2004,2,1,Supermarket Type1,1402.1748,2
NCX54,-0.8667186079032145,Low Fat,-0.3450020819018412,Household,-0.5753937516822336,OUT017,2007,3,1,Supermarket Type1,1693.7952,2
NCO55,-0.013641002945919469,Low Fat,0.4862859925326184,Others,-0.5684628024898005,OUT045,2002,3,1,Supermarket Type1,2143.876,2
NCC30,0.8855808830007439,Low Fat,-0.7463922007473189,Household,0.5884179630162152,OUT049,1999,1,0,Supermarket Type1,2676.516,2
FDI16,0.2703238031425003,Regular,-1.2817577519125376,Frozen Foods,-1.4120248388398298,OUT035,2004,2,1,Supermarket Type1,905.488,1
FDP16,1.3588555598147771,Low Fat,-0.5189686604161511,Frozen Foods,1.692388414807614,OUT049,1999,1,0,Supermarket Type1,7370.406,1
FDB11,0.7435984799565336,Low Fat,-0.10263641424638734,Starchy Foods,1.3786039823926362,OUT035,2004,2,1,Supermarket Type1,6301.1312,1
NCB06,1.1222182214077605,Low Fat,0.3136842997524076,Health and Hygiene,0.3163444838737717,OUT035,2004,2,1,Supermarket Type1,1597.92,2
FDA45,1.985944506593371,Low Fat,1.7292106650817733,Snack Foods,0.5980949555633888,OUT035,2004,2,1,Supermarket Type1,529.311,1
NCO26,-1.3305277911809672,Low Fat,0.2075609791203486,Household,-0.376474225160758,OUT035,2004,2,1,Supermarket Type1,1969.4364,2
DRJ25,0.4123062061867102,Low Fat,1.6530185999631595,Soft Drinks,-1.455299912713251,OUT017,2007,3,1,Supermarket Type1,1034.6532,0
FDR28,0.23482820238144775,Regular,-0.7777926548421802,Frozen Foods,0.3296571735876895,OUT018,2009,1,2,Supermarket Type2,1794.331,1
FDI04,0.18750073470004458,Regular,0.13717310410479708,Frozen Foods,0.9097243060005524,OUT018,2009,1,2,Supermarket Type2,2768.3964,1
DRK12,0.0,Low Fat,-0.4738568620572665,Soft Drinks,-1.7616876926768048,OUT027,1985,1,2,Supermarket Type3,898.83,0
FDX20,-1.299764937188055,Low Fat,-0.45686346193554217,Fruits and Vegetables,1.3678703252095448,OUT046,1997,2,0,Supermarket Type1,3169.208,1
NCI18,1.299696225213023,Low Fat,-1.0088396032917235,Household,1.3261593719370108,OUT018,2009,1,2,Supermarket Type2,3589.9936,2
FDB36,-1.7493758801613868,Regular,-1.2817577519125376,Baking Goods,-0.13537804210775709,OUT018,2009,1,2,Supermarket Type2,262.3252,1
FDN13,1.3588555598147771,Low Fat,1.6820757750625739,Breakfast,-0.6609289874991373,OUT017,2007,3,1,Supermarket Type1,1910.1802,1
DRD24,0.23482820238144775,Low Fat,-0.681517478726819,Soft Drinks,-0.00124265653186445,OUT017,2007,3,1,Supermarket Type1,1701.7848,0
FDQ28,0.2703238031425003,Regular,-0.11154715800862695,Frozen Foods,0.2179622616019406,OUT013,1987,0,2,Supermarket Type1,2471.4496,1
FDM22,0.2703238031425003,Regular,-0.4692174599856458,Snack Foods,-1.3847249926231096,OUT013,1987,0,2,Supermarket Type1,1331.6,1
FDR07,0.0,Low Fat,0.2177623181774889,Fruits and Vegetables,-0.7063173906443945,OUT027,1985,1,2,Supermarket Type3,1808.9786,1
FDV25,-1.6452554512622992,Low Fat,-0.3933307163616038,Canned,1.309634935609361,OUT018,2009,1,2,Supermarket Type2,3315.684,1
DRF49,-1.3222454843367217,Low Fat,0.09586064246241116,Soft Drinks,-0.42942629158135326,OUT046,1997,2,0,Supermarket Type1,2618.5914,0
FDW51,-1.5860961166605452,Regular,0.5529209308607456,Meat,1.1813320818840052,OUT046,1997,2,0,Supermarket Type1,2769.728,1
DRL01,1.5718291643810918,Regular,0.22244122035740257,Soft Drinks,1.4854812744577877,OUT017,2007,3,1,Supermarket Type1,5375.0034,0
FDP25,0.5542886092309202,Low Fat,-0.8683928593147283,Canned,1.2186911184949325,OUT017,2007,3,1,Supermarket Type1,2838.9712,1
FDL50,-0.16745527291048037,Regular,-0.45831337562601093,Canned,-0.2567499466406798,OUT018,2009,1,2,Supermarket Type2,1743.0644,1
NCB30,0.0,Low Fat,-0.7859998780299271,Household,0.928445577011995,OUT027,1985,1,2,Supermarket Type3,5555.4352,2
FDW11,-0.06096847062732305,Low Fat,-0.3324216850465515,Breads,-1.269818334023629,OUT018,2009,1,2,Supermarket Type2,619.194,1
NCM43,0.3886424723460086,Low Fat,-0.9043613904574038,Others,0.38265099271426345,OUT035,2004,2,1,Supermarket Type1,2120.573,2
FDK44,0.8855808830007439,Low Fat,1.100630847321494,Fruits and Vegetables,0.5151805049832903,OUT017,2007,3,1,Supermarket Type1,3823.0236,1
FDM15,-0.2502783413529361,Regular,-0.169750296233016,Meat,0.16771448583010762,OUT013,1987,0,2,Supermarket Type1,1360.2294,1
FDS31,0.05735019857618527,Regular,-0.42594280429837994,Fruits and Vegetables,0.6076466899926269,OUT013,1987,0,2,Supermarket Type1,3969.4996,1
FDI32,1.1458819552484618,Low Fat,4.375119081233102,Fruits and Vegetables,-0.4144659758545907,OUT010,1998,3,2,Grocery Store,345.5502,1
FDR47,1.1813775560095148,Low Fat,-1.2817577519125376,Breads,0.8926506610019546,OUT010,1998,3,2,Grocery Store,585.2382,1
FDB35,-0.13195967214942778,Regular,-0.026785720770247632,Starchy Foods,-0.775835646098618,OUT045,2002,3,1,Supermarket Type1,1010.6844,1
NCU05,-0.2502783413529361,Low Fat,0.6237139242587985,Health and Hygiene,-0.9559921489026729,OUT010,1998,3,2,Grocery Store,161.1236,2
DRY23,0.0,Regular,2.4204308515828106,Soft Drinks,-1.587912930394235,OUT019,1985,2,0,Grocery Store,42.6112,0
FDO24,-0.415924478237848,Low Fat,2.140545488571287,Baking Goods,0.26444908208909396,OUT045,2002,3,1,Supermarket Type1,3010.7476,1
FDQ28,0.0,Regular,-0.11624404649889196,Frozen Foods,0.19387416199895252,OUT027,1985,1,2,Supermarket Type3,6024.1584,1
FDV39,-0.36859701055644445,Low Fat,-1.1403742661622824,Meat,0.9177536725348818,OUT045,2002,3,1,Supermarket Type1,988.713,1
NCO17,0.0,Low Fat,1.208386096127328,Health and Hygiene,-0.3701342373452515,OUT019,1985,2,0,Grocery Store,239.688,2
FDU50,-1.6819342387153868,Regular,0.17396381120124332,Dairy,-0.45245772654842364,OUT013,1987,0,2,Supermarket Type1,1374.2112,1
FDT12,0.0,Regular,-0.3246572196968039,Baking Goods,1.378054773721688,OUT027,1985,1,2,Supermarket Type3,4739.8302,1
FDK58,-0.35676514363609385,Regular,-0.40636332937326736,Snack Foods,-0.6582664495563539,OUT018,2009,1,2,Supermarket Type2,1012.016,1
FDO08,0.0,Regular,0.5431113948895427,Fruits and Vegetables,0.39761130844102593,OUT019,1985,2,0,Grocery Store,657.8104,1
NCW29,0.2703238031425003,Low Fat,-0.7214719351740871,Health and Hygiene,-0.1696088375169099,OUT049,1999,1,0,Supermarket Type1,778.986,2
FDE04,1.630988498982846,Regular,-0.9317297905637977,Frozen Foods,0.6226487584253679,OUT045,2002,3,1,Supermarket Type1,2336.958,1
NCB19,-1.498540301449949,Low Fat,0.47105653002411113,Household,-0.8977567593024889,OUT049,1999,1,0,Supermarket Type1,2233.0932,2
