,y_test,prediction
379,4274.436,3401.4737533272864
7273,412.796,-124.25466769756781
6787,4625.9784,4067.129730773886
2645,3006.087,2219.779236680908
1589,4950.8888,3557.702679096708
5198,529.311,2408.6744368077157
3909,2184.4898,2087.3612392815303
8236,510.0028,2125.2282896063034
888,2620.5888,2505.563349133474
5175,981.3892,697.0485465968932
1580,319.584,592.2756611538497
4109,2297.01,2450.658965377365
4238,1018.674,610.5234600302526
140,1402.1748,2411.278282112987
6770,3942.8676,3030.723877705996
4098,1182.4608,3170.526300043804
4394,937.4464,3620.090188130376
543,1398.18,2148.193900253803
3412,1168.479,914.8049796093254
3043,1569.9564,1405.5847878959626
6696,6474.2392,5391.46761313167
6565,296.9468,547.3368104259657
2563,2127.8968,3399.4340782835625
4824,5683.2688,4054.8766774339233
6335,2616.594,2991.2259929060724
6164,4866.998,2311.9817320542916
6095,316.9208,595.6588423434268
4972,355.5372,1497.8253981558496
3535,2994.7684,3353.045538087976
7490,607.2096,565.1826457114108
49,780.3176,1263.9286614007765
7475,1685.8056,2400.760578690624
380,5375.0034,5191.32020438875
7192,1267.0174,1810.0365775208456
4773,3131.9232,3096.8904711102678
4088,1629.8784,1337.4756690732534
2849,6196.6006,3883.1290075469706
6750,3094.6384,3452.875642158994
2488,3142.576,3161.2790671997795
3812,2972.1312,2564.0824134088853
916,895.501,970.1387666477572
2539,5259.82,3275.970549665838
541,231.6984,1243.3632862778663
7275,2922.1962,2012.9065329541106
6192,922.7988,2528.7441519943945
5373,3819.0288,2615.3504234352645
1657,75.9012,340.3663211399887
273,5829.7448,4171.895916021624
7086,392.822,1259.427894084483
2337,61.2536,-728.714179270257
2607,3542.056,3038.369335286377
3299,5396.9748,4124.286525907288
2631,1510.0344,4081.121972307953
3776,4349.0056,3142.048749919826
4153,225.7062,1702.6678908740091
4557,2162.5184,1142.658070024535
5378,1065.28,3389.151231783464
6000,7393.0432,4998.315473324104
7564,802.9548,859.3958089550805
1035,2190.482,2478.6214571297796
8440,2960.1468,2442.437400034471
6539,3281.0624,3808.3001672718246
3434,3778.415,2516.2429383143462
5233,3751.783,1695.3851000079032
4061,428.7752,-116.2149506252074
44,373.5138,2041.7861033427273
5022,120.5098,49.009354674187534
5085,2916.204,3889.547332745245
3007,3439.5228,2783.179484339634
7336,1830.95,2327.366728736999
2434,2006.7212,1488.2348887437004
2580,3629.2758,2578.1929917449497
4559,351.5424,953.0268684966622
5615,2375.5744,2339.0945225689966
7019,2466.789,2238.55737277884
4574,2303.668,1846.2396751356514
4589,1543.3244,2173.1090493890106
7801,2432.8332,2619.810170661288
8255,2696.49,1610.1558404147752
7646,790.9704,645.2551800853655
6132,5438.9202,3780.3888645003035
5663,1174.4712,1535.598279402922
3637,1166.4816,813.9843633862699
2966,143.8128,471.26655077472424
6577,761.6752,1724.2914224708952
6261,4288.4178,4970.7848683666325
4083,1216.4166,4132.518866852309
4415,5219.872,2977.8914604010424
2643,5976.2208,3645.4579391230527
1132,1901.5248,2368.5242422138554
5686,856.8846,1489.7432751163774
7491,3175.866,2857.065329034295
938,89.2172,-361.14129219429424
7453,509.337,1051.254855299102
6510,3251.1014,2572.2611979554235
234,605.878,704.4687251478642
722,1780.3492,2069.9602282484066
187,778.986,2275.7163715620763
3526,473.3838,1613.4170318211707
4699,6831.108,3714.7375804472035
2793,1837.608,1210.254231547059
6198,3214.4824,3008.737738439332
2650,2524.0478,2412.596297447985
7761,1403.5064,1365.354189004306
3112,886.8456,1566.1365775143165
635,5087.3778,4525.002445371169
7677,2045.3376,4018.1760580648024
4413,3900.9222,2405.3477481574073
4937,3658.571,1587.2739652795613
5645,2077.296,2587.399241340946
1034,75.9012,-1139.7616687068853
3326,3478.805,2873.7749371627588
1103,5350.3688,2563.8170363820905
6440,1113.2176,951.3245561160579
2578,2648.5524,2362.617386211997
394,3259.7568,2997.10147473238
4994,2292.3494,3306.5671767566846
787,129.1652,-835.4802526629664
2152,2348.9424,2038.2990310315975
5105,1230.3984,1725.1036952092315
3379,727.0536,954.8444205938761
4800,488.6972,1855.4953967159047
5276,2055.3246,1598.0166359448235
6608,691.1004,1842.9813827416406
7114,3174.5344,3159.072276162725
6423,569.259,2650.2692214863905
5840,1446.1176,1634.7148868825461
3766,5267.8096,3625.8399360586404
5575,885.514,1496.6745709820784
3779,3563.3616,2063.961140526192
5977,8474.3024,5066.840910851327
7052,3675.216,3585.4721851384984
1082,1584.604,1700.195352667831
7917,743.0328,1389.817246856083
5836,3271.7412,3688.7431079401313
3976,1592.5936,2500.060708118236
1783,2364.9216,2291.685665556417
1414,3420.8804,5126.126335141665
3724,5000.8238,4153.413333557538
5605,1607.907,3321.9926608548008
2509,2960.1468,2304.031958230306
2067,1518.024,2345.695284576056
2774,1419.4856,1750.4986930211753
6630,173.108,-495.52348222874843
1817,4410.2592,3011.461289693621
3805,2182.4924,3090.24390232199
2081,392.822,1206.979055606968
7551,3229.7958,4166.943486239604
5173,2302.3364,2890.3236385618775
3714,5299.768,4119.379027783725
692,4974.1918,4008.7512482435823
1235,3235.788,2579.9631078559682
5770,2388.2246,2327.4145314893303
642,3246.4408,2320.371452642694
7419,2444.8176,2170.1570013554146
3315,2956.152,3018.1851832478005
3679,2695.1584,2128.8754893547402
38,388.1614,2109.649190947566
7813,109.1912,-961.5144879142379
5155,354.2056,1115.888310554475
8405,124.5046,139.56622526499405
1180,2190.482,2470.122169891905
1022,352.874,935.1903225425494
7538,1817.634,2414.4752405242025
8284,197.0768,-248.5662730865513
7975,922.7988,1402.541402116909
1332,1957.452,2288.275192490841
5873,2422.1804,2123.4946108898957
2189,5243.8408,3636.718066254744
1386,3691.1952,2790.634673493586
147,1597.92,2664.9650462621075
8244,3964.839,4306.382324556855
7158,5592.72,3481.5504778422287
4520,2302.3364,1959.9437204735361
3769,3567.3564,4516.949268108974
5470,1791.6678,1035.438180009768
7898,790.9704,2333.7904596302615
8441,777.6544,1575.4166355235345
4919,341.5554,1810.135763454457
196,992.7078,807.232268430862
5367,2596.62,2710.8295197127
1456,351.5424,1440.5461528189567
277,450.0808,1841.956920919779
1830,1468.089,723.0823111025326
2172,697.7584,961.9335706387465
3266,5752.512,3347.9206851188815
1379,5816.4288,5239.723609492749
4844,102.5332,-91.18256388072018
6799,459.402,3621.1112944785823
7782,2345.6134,2942.3705905401766
2843,2796.36,3717.6523121875334
1283,1581.275,1069.7624610417806
3375,352.874,846.6450757531766
5739,2087.283,2636.2417396147107
5937,312.926,572.9220828629375
3180,1524.0162,1641.8650539279365
7671,1078.596,505.42697953212337
8210,3435.528,3331.9054243032087
2417,3731.809,3115.0374368579974
7299,3352.303,2871.954682182592
958,1973.4312,2613.556415907441
6956,2125.2336,1591.6522233478513
3740,91.8804,-937.1980447617334
3079,497.3526,1136.1140368939068
5167,683.1108,1905.5315497368756
839,2857.6136,1562.6178888546492
39,2180.495,2872.8794525477056
7852,1342.2528,1621.561168205981
4881,2792.3652,2461.9207732438717
6258,2512.7292,2671.4011659208873
7427,884.1824,1599.112305255916
3603,330.2368,832.8453911806423
7648,1070.6064,1428.6305442180874
462,1787.673,1901.6719579515127
4065,1845.5976,2767.6933491070367
982,384.8324,1221.4705324937722
6296,247.6776,211.46781933996226
641,6611.394,3141.324699134722
454,2683.174,1440.5595957399855
20,3775.086,3955.3523067287856
8401,1395.5168,1511.8799392155333
8283,1845.5976,1550.1049849807514
3639,390.1588,1379.1838437626889
244,3225.1352,3598.1482081499735
2984,1257.0304,2495.8088957977384
6154,3874.956,3105.9590605921367
3978,882.8508,879.1249877027742
4609,1049.9666,554.3427290368423
6039,1757.712,2374.147165548162
882,300.9416,704.2308473072903
3443,1150.5024,867.4654842616776
7632,41.9454,-1126.761573269483
4967,3146.5708,2987.366958377492
3634,1601.249,2091.294810889827
4060,5609.365,4916.9966029300895
651,229.701,-991.6350176862327
1852,874.8612,531.7906834499214
162,3315.684,3188.867199725504
7043,992.7078,2403.4728740489086
4240,1518.024,3014.662629523538
6163,1957.452,2267.6900939169905
5863,2387.5588,3017.9637584230827
304,7696.648,3400.2359285996367
4853,2852.2872,3263.412397128229
7311,1494.0552,1512.7111494089997
7398,1494.0552,1435.2671125408538
6866,647.8234,1466.2557612824698
6943,325.5762,1816.4547045986762
1085,5173.266,4225.367327875342
7496,2868.2664,3799.110228696744
5165,2954.1546,2750.0832968368236
2457,5099.3622,3414.3819219083352
8008,2743.7618,3443.312944174367
2813,113.186,184.01232147424025
2214,2936.178,3076.4878169670037
1168,2519.3872,1858.897184531052
8070,868.869,1735.9589191922328
6148,2740.4328,3069.4415292287604
8253,2896.8958,2410.738643415133
6913,325.5762,1821.336908147356
6340,3123.9336,3087.965196945221
8003,1342.2528,3046.6042419032133
1261,2681.8424,2309.940166775599
296,583.2408,752.3742178240893
229,3101.2964,4289.083856348784
2241,856.8846,1087.0202463615
4407,587.2356,1695.7886828570865
221,1416.8224,1450.8780337550734
6982,5073.396,4030.635171329132
6688,5888.3352,4526.725866669713
1411,928.791,1084.1628690130583
2549,6381.693,2300.992042736675
4123,4082.6856,2368.2670477090555
5435,2127.231,2469.8650326904713
2076,2516.724,2112.638754565918
7886,1857.582,1667.3962546035975
3840,1559.9694,2396.1667422404785
4068,1761.7068,1589.2797136478491
5972,549.285,1088.6718889627155
7176,2037.348,2677.0683319377313
1091,2503.408,2551.9292208774878
7138,652.484,1086.7122857892232
8141,452.744,735.2868465559284
2250,458.0704,1751.600222406048
4977,2446.815,2525.519128298665
5518,2463.46,1305.5320832955151
6481,2716.464,2242.268371173963
6605,1125.202,2409.983615093747
4328,5690.5926,2766.491063573473
8153,1719.7614,2985.4200403564337
6289,2247.075,3125.5516851376237
2676,4134.618,3099.954523873142
4582,3495.45,3848.6332353867033
5399,2802.3522,1924.6670195062454
8412,2203.798,3487.664702221409
5599,429.441,372.1866460262511
4076,2450.144,2675.1900377806774
6436,3506.7686,2272.696814781104
3636,6338.416,2917.3148555035627
841,178.4344,-417.63997393407817
3528,3872.9586,2904.333514877681
1547,829.5868,567.5080747385947
6724,1454.1072,1981.0812786617782
6853,3098.6332,1982.9322631208152
8046,392.822,3139.564447442378
1029,1198.44,997.9478461728694
7766,1707.777,1919.2858647679545
6670,264.9884,2276.8056633702686
8148,3142.576,3085.2918492429962
7355,80.5618,-552.677567158344
4900,3439.5228,2510.444089927168
6428,1808.9786,2546.311880868616
5498,309.597,1421.7922177485207
7533,2572.6512,2970.6358605923933
7994,3593.3226,2678.860142717741
3910,1621.8888,3440.214735522202
2568,659.142,531.2052306124516
2644,884.1824,932.8685526185118
733,1807.647,1941.0967722039352
4105,5522.811,5518.772280520535
5694,1435.4648,2105.814953794501
6512,2841.6344,1906.3885164901478
6590,3691.1952,2410.9161776617098
5558,6624.71,4306.243213856902
1750,5956.9126,4119.057838660852
836,145.8102,-1057.4886139908153
2528,6503.5344,3816.9606905083942
4831,858.882,2274.7583605029045
5006,1701.7848,2236.943857652008
7489,614.5334,814.1905157713713
2866,250.3408,236.68489089894297
7154,3835.008,3430.361464576291
683,1488.063,1593.9740058138161
499,1298.31,2044.8610282601985
388,717.7324,2395.6726311092916
6101,2999.429,2809.996001326237
3311,1346.2476,3530.300956297065
6380,3755.112,3093.1635801717675
8404,153.134,-574.2059832778939
119,1141.847,3281.455242490575
158,1701.7848,2164.061380183674
6968,755.0172,1413.108553700135
3986,4250.4672,1720.6862968580594
5962,1641.197,1656.1431516394919
6693,1957.452,2211.2852876625457
1044,6048.793,4182.030913278675
3964,2077.296,1905.4183553244245
6059,3704.5112,3650.706306936607
4301,3295.71,1632.594928470487
7733,467.3916,529.858845472527
7868,2542.0244,1752.6306037328284
6837,4165.2448,4049.4374592240133
3975,892.8378,1587.8418394848868
6099,567.2616,431.3378124400049
7276,1537.998,1673.4751401921164
1422,852.224,1485.0758852787576
4561,2183.824,1756.2443337966608
6183,3509.4318,2576.2993240423875
1644,153.7998,586.064821815178
2480,782.9808,1282.333319561918
2877,3165.879,3339.881849689391
2491,109.1912,-88.61262454668372
1831,1733.7432,2340.967831856776
6464,2195.8084,1970.7560664613002
6141,4460.86,2795.9142039855383
7016,8062.838,5018.773096276152
1240,3415.554,3284.010646324992
2542,1211.756,1484.8703432538896
4225,233.03,1838.9019288018735
6372,2846.295,2484.636285073395
4220,1571.288,2621.668061022831
4418,2530.7058,1919.4348872628266
7542,785.644,1275.2820164528016
7198,3981.484,2481.1038736369783
2041,633.8416,769.1075135107825
2223,188.4214,1149.9542274778314
3852,1073.2696,1221.5951233775315
1142,3747.1224,4290.123971044011
5139,988.0472,1974.8852100966087
7833,4482.1656,3448.9138717111864
6673,1006.6896,4129.348965954041
532,95.8752,-1072.6807464018807
3222,852.224,1317.4801733092984
3581,1006.6896,1738.4452483982877
6043,677.1186,3265.716304324494
7004,870.8664,2371.664495190365
4013,4857.6768,3881.3975033397064
422,3415.554,3724.415202561258
7899,377.5086,610.7885464780479
1373,5426.27,3338.3085388268046
22,1587.2672,3061.0089282175013
495,2336.958,2924.4683366111276
4781,2784.3756,2595.537319693423
4270,2360.9268,2109.6093067686293
7680,419.454,1370.3307259006504
1718,563.9326,928.4406819009515
1683,990.7104,2655.594102314262
6415,126.502,-818.6255568185186
6079,341.5554,648.3790220808978
3744,4334.358,2397.750436770229
2388,1004.0264,3589.078688272405
6024,171.1106,827.3729204656929
6619,2316.984,2789.921848502103
8487,4111.315,3927.0693882343858
144,905.488,906.3687528774738
3972,1895.5326,2270.6455681542993
574,37.9506,-993.8496484666757
4018,3392.9168,2173.5690455424256
6526,2145.2076,5262.36635594259
4873,4302.3996,5252.001310900442
5968,4996.829,4112.10855544856
3706,4452.8704,5369.544569975309
3648,3257.7594,2506.4654713291616
3239,3693.8584,3092.3053974001546
1066,2633.9048,1914.7768742640217
167,1743.0644,1736.6198310897944
5318,540.6296,593.6793654914584
1869,1518.024,1628.2326352585133
1666,512.666,558.1141970036612
8265,4026.7584,2583.5640944911356
526,283.6308,2072.0826681586077
2931,196.411,1207.8206591135418
1112,1544.656,2681.637241617469
8004,2446.1492,3622.7316751013855
4872,2940.1728,2955.089174936655
6711,3563.3616,2356.036909713734
2632,1629.8784,1722.9268298628697
987,5061.4116,3704.390797458184
6561,1030.6584,2787.531044243653
1122,1125.202,1552.1959674151444
989,5518.1504,4167.842109043064
776,857.5504,1559.6344972353884
274,2082.6224,1488.6966651277305
7376,2399.5432,2284.955216629839
8368,1800.3232,1855.9413323130686
33,2174.5028,1567.3486611322944
5379,926.7936,605.7198942316248
5253,5645.984,2512.452137077215
1478,4211.185,4168.305833597063
6376,2651.2156,1925.99386260721
2328,1120.5414,1144.647936122377
8327,3012.0792,2698.1608755219713
8101,2189.1504,2880.442340255994
8192,2908.2144,1868.5257962468713
3664,1318.284,1481.6363631068014
3849,1525.3478,893.9249201837929
2270,695.0952,1853.1257162993163
6757,2807.0128,2648.2818990670385
1656,3455.502,1927.921813865704
4364,1411.496,2876.726924544205
152,2768.3964,2825.7506331209343
4902,2290.352,2207.157312411782
8193,2656.542,2091.859186787863
7588,1845.5976,1616.6484851501586
7484,671.1264,3650.7162958014396
487,75.2354,-650.1344163437645
5476,193.7478,-802.0059177124626
2420,998.7,3915.7799151718837
2894,1384.1982,3186.3316360134086
3583,5660.6316,3158.2617289591044
1070,952.7598,795.1268181862544
134,952.094,2674.7146091463405
7575,641.8312,3916.4218436272968
1454,107.8596,-829.6664366860615
5871,129.831,367.9527832519666
5864,1201.769,1105.897483048992
4512,383.5008,917.9917921308308
3053,34.6216,-1122.3833071837807
7286,1102.5648,997.2428233187107
5397,61.9194,-761.6973095042006
6970,1416.8224,1083.4890680900876
2560,1609.9044,2219.022086015761
2026,3425.541,3665.2941094048583
6578,1418.154,1516.0024516898388
3069,1736.4064,3297.7003043128293
318,3877.6192,2302.2793381254924
4189,3238.4512,2825.625630010479
5306,1054.6272,1453.7287123545127
3391,2376.906,1895.6837290885571
1121,593.2278,1090.7304111106719
6576,1034.6532,774.2256733430536
2899,2709.1402,3239.847924751968
7082,2801.6864,2833.9295157968963
5268,1323.6104,3301.6265087439683
4323,978.726,701.2201305479106
6096,1747.725,1926.9888344343665
1643,1198.44,2377.793433505374
6614,406.138,755.5312019071622
2134,490.0288,1948.148227453737
1382,639.168,673.9087259223148
5061,402.809,1218.8083681798203
6124,1062.6168,1536.3155928779795
5455,982.7208,2004.2181568596516
4425,998.7,1648.6996361721835
4355,4327.7,3432.8936923783417
509,95.8752,-439.33642829560154
3671,2036.6822,1947.8479484998252
6900,4314.384,3132.2165870760196
3286,8138.7392,5510.20567783225
7951,4218.5088,4140.300877201049
7245,517.3266,977.28777178066
2453,1325.6078,1849.6248499311205
6906,6454.931,4330.8865191088935
971,615.1992,1000.4549902863114
313,1677.816,2483.982353682907
7871,1677.816,2221.83654135153
3202,539.298,551.7973942601963
5759,784.9782,2242.8789158857153
5583,3520.0846,3333.2032860435907
4858,1607.2412,1408.3228475358553
7248,1289.6546,1663.5244121123753
7802,1444.1202,2567.853205669965
8220,2621.9204,2047.723291897683
558,2876.256,3102.533316994482
4904,4673.916,2512.253135496024
276,7452.9652,4033.0459899805114
1540,716.4008,1037.4721045272827
7511,3111.9492,2659.9296169766217
3474,755.0172,19.827967393639938
4139,394.1536,550.129852281022
1984,4086.0146,3757.9939984857156
2285,3202.498,2094.4175388873136
2615,7201.2928,5010.213857164393
3891,1358.232,1509.5092485507948
7784,2681.8424,2179.2561190750985
6444,3844.995,3801.980349342152
6308,691.1004,1816.1244157077122
1942,3105.957,3138.301360956145
2569,4402.2696,2464.5629505906295
1977,2713.135,3189.3215285738097
1220,2884.2456,2299.103653796912
5601,3113.2808,3578.0830079818174
8499,2976.126,1738.28109965211
3182,1142.5128,1430.5885612917084
2381,4374.306,3863.753089259484
2585,4225.1668,3137.3309827500775
6390,4434.228,3496.3620200928026
4887,1749.7224,1853.0848636667477
8066,4171.9028,2650.765162307971
286,296.9468,543.7574600072026
994,2982.784,2638.5471408925787
2586,139.818,-1176.0502868839
4753,3793.7284,2725.83663428142
1952,554.6114,1389.3379659914558
7984,1245.046,1691.891764756758
7356,974.0654,1467.8791325783477
5904,517.9924,4022.3082850405317
72,4604.6728,2530.419262191263
519,5344.3766,5046.363758015556
5081,1342.2528,1587.7750803552506
4978,1784.344,2825.334889542529
7150,4407.596,3439.3171942070226
548,2094.6068,1737.971007462353
2888,2167.179,1737.7332756821725
7428,1845.5976,1656.8350483248923
1892,1583.9382,2053.533060834362
8007,262.3252,2136.505468857138
6702,1179.1318,846.2509697268242
5356,1158.492,3127.2228768945292
1955,1514.695,1572.8441741499028
5362,1006.6896,1753.5357369227377
7667,2253.0672,2089.114675184778
2190,934.7832,519.6082247684209
5564,751.0224,1049.535015059118
3711,1619.2256,1648.1562132744996
1675,2007.387,2348.922533336517
6257,1342.2528,2186.16167002539
842,1470.0864,1032.374099087623
247,974.7312,2665.284195457165
8025,207.7296,-1053.879525196034
8516,858.882,649.5421555579635
4110,2621.9204,1649.5290415754732
3573,1518.024,2389.7213583052226
2217,2428.8384,2309.2635325249657
7779,1258.362,1403.5863789685052
4339,1114.5492,1943.7327823185944
5553,2456.802,3868.2625240829493
6285,2902.888,2303.444594113726
5335,339.558,685.443062151902
3993,529.9768,2238.8594424253297
3485,666.4658,857.7524624559808
3996,110.5228,-73.95732707539969
2565,3844.995,3109.3037549783626
4999,2324.9736,3821.060655258854
6934,2616.594,4257.252256287731
4770,253.004,128.2265903882137
3083,7534.1928,2952.746002550324
725,918.804,2158.3692278761614
2682,3531.4032,2340.8489472765964
7922,801.6232,2462.983283527742
1741,614.5334,843.7847889898542
6721,1573.9512,2152.735539675139
6897,3261.7542,2361.1423222519234
779,597.2226,818.5188226476124
50,3134.5864,2415.9415267924264
4696,2534.0348,3595.5676595661407
7639,123.173,194.74901645235286
7978,3350.3056,2948.3423352155996
406,5770.4886,3409.300308821713
4234,3379.6008,3022.6953333390147
5514,3880.2824,2074.252017506421
4034,107.8596,147.6351471913531
6652,715.0692,1938.5037303614704
2655,2066.6432,2090.2919262918963
2141,5294.4416,4490.442177578673
6291,441.4254,1979.735517816945
6519,2504.7396,2166.887797145662
2617,1522.0188,2309.3790789607697
6784,610.5386,1409.9476263337096
3465,1518.024,2875.477712288597
156,262.3252,1826.2589118994547
8502,3020.0688,3387.9084921953536
2795,308.9312,633.9401693158557
6627,343.5528,884.9222294837141
6518,2259.0594,3913.836489804244
578,4655.2736,3877.810269014118
4302,3338.987,3099.0841070540832
8096,1163.8184,1082.0660024876715
2948,3868.9638,3086.1172180588974
4004,4327.7,4221.382869269588
2872,796.9626,783.845139874783
2653,4195.8716,2931.169137266422
8111,363.5268,1298.2232947637797
1308,343.5528,1950.5914826286823
317,452.744,1820.2271598604411
5587,1231.73,701.6454616661953
5817,596.5568,515.5493930544739
7573,3435.528,2324.9606785476994
2958,3350.3056,2977.8530935974954
1812,1597.92,1652.418514558699
7785,3146.5708,2794.453230476737
2531,2087.9488,2350.0149291928637
4627,4727.18,3131.21374432166
7289,1651.184,1749.0093751759546
4957,298.2784,-711.3584462794311
6418,185.0924,-410.132007639374
188,2336.958,2901.542729175124
2004,4777.7808,3208.1635023353465
4235,494.0236,606.1016653574716
5129,3427.5384,2525.328962701332
217,260.9936,2254.068385215262
2405,2109.2544,1809.1194168075904
5168,282.2992,763.2446730010209
3753,3998.7948,3478.5793847751793
1978,447.4176,937.2761298268169
4226,476.047,1531.2523145320786
5992,3243.7776,3862.2165432619377
6005,1693.7952,1792.5631951303612
2767,185.7582,1885.3627147877573
2760,2588.6304,2312.8754109662787
4160,1938.8096,2329.2689612070526
4338,5704.5744,4648.667741926179
1334,4098.6648,1786.3416498427994
1597,1893.5352,2831.8025963849477
7482,3467.4864,1498.4500188406034
8335,708.4112,866.8126513523946
1833,1985.4156,2311.5099765682803
7970,2157.192,2830.108965217162
1514,3368.948,3760.619497916044
2887,6359.7216,3875.6136700326037
2423,1225.072,1040.4281260932707
6035,88.5514,-440.9358820413338
7301,3728.48,2914.805569817122
1063,568.5932,435.51751060515653
4912,4853.682,2925.291683297353
1172,2251.7356,1928.1310798800703
8105,1155.8288,1432.2614859033129
2929,4604.6728,3793.2520780940727
7323,1188.453,3710.0977886379274
1972,1120.5414,1141.4095535707872
1768,1398.18,1601.631215955904
122,186.424,-326.14511735489737
4488,1406.1696,1378.7550384601466
1529,3749.7856,2616.111757609928
1621,3755.112,3035.8931153513695
7278,326.242,716.8145411533192
4942,2221.1088,2857.9703075337493
1928,1897.53,1981.7996059347788
2890,2846.295,2738.82979811361
1087,1522.0188,3953.487872309857
5036,4094.67,2545.6700369790274
8437,2596.62,1649.049136664372
6129,1693.7952,2193.9961363534685
294,5499.508,4520.181166852017
7132,2449.4782,3167.440684116413
6197,2526.711,3272.4757291733704
7870,1480.0734,2680.4918137168474
5439,1581.9408,1080.9098834098077
8438,3034.0506,2230.7586476278757
1642,211.7244,-50.22825824891129
1234,872.198,1289.9353143812828
1185,822.263,638.9494235525456
3046,295.6152,452.83294434698905
384,3523.4136,2147.1074845156754
3756,5552.1062,2555.5073647515046
7476,1494.0552,1410.752518447641
2663,102.5332,-166.17754077156155
4982,3367.6164,2959.160640540636
4987,455.4072,495.9124012463235
684,5159.2842,3053.821118519771
8022,5812.434,3024.416669370617
4085,2120.573,2641.1604859889794
7110,2644.5576,3528.5932720805004
1533,1943.4702,1455.6134776099407
451,1816.3024,1397.2714754603558
4237,1404.1722,1231.8530716304485
2640,1288.9888,2397.6727441905027
1376,1151.1682,2432.3753393993957
1914,515.3292,-375.2074933336871
5866,6636.6944,3694.108290168924
2980,3101.2964,2849.4012178763887
1490,486.034,1974.6664351074617
4629,447.4176,2048.5110142290146
5777,335.5632,860.627652329986
4030,1318.284,1826.0125749325018
1811,468.7232,859.5531824376366
2038,1470.0864,2968.0961153206426
6159,697.0926,1835.4047178043033
5313,750.3566,1725.9627740887092
6134,8217.3036,5465.78074558718
1536,2320.9788,2558.4087887727733
2604,3956.8494,3027.8363402055184
5598,1882.2166,2692.8303691971923
396,3707.1744,3734.5333500574307
8376,3717.8272,3631.884330132214
6157,583.2408,1488.9948358894867
14,1977.426,3107.3220761985363
5546,1980.755,3287.5832584626073
1900,4566.0564,3908.347478936374
2475,361.5294,77.35019870656834
7343,8209.314,4323.459843738348
6939,886.8456,1194.7868371898132
7658,826.2578,2224.312859998262
4092,647.1576,2326.0477225970135
4857,722.393,1391.0633478423388
5603,169.779,898.1826142432735
4178,653.1498,3468.6717488085606
7160,1318.284,1420.5156664881836
8407,575.2512,2279.268170174756
6752,882.8508,2415.4214462800282
4716,3182.524,2617.810399821405
90,369.519,169.21919222887777
5421,2149.2024,2773.2259773709247
5326,3950.1914,3711.1474328178415
5632,2852.2872,2460.3665219966724
5354,272.978,-1043.1513843643127
8167,1857.582,2274.8723988711363
3126,2090.612,3150.8799718051096
6020,1218.414,854.7341925889606
3050,3761.77,2402.5989697244117
3490,1687.1372,3812.1710777869903
6669,1670.4922,1992.5935372254999
4948,1981.4208,3889.503083518289
6047,1488.063,1573.9789094672335
15,1547.3192,917.2710141002352
1315,1413.4934,1828.2982375078889
8484,2324.9736,1934.6109092646495
2693,3408.896,4197.8269276391275
5183,2458.1336,2749.806807847421
6413,447.4176,1112.3024968007583
5296,3159.8868,3772.595008599116
